5000 5000
1881 3402 1293
369 496 4141
245 2633 4240
1935 4534 132
933 3545 3868
127 4760 4719
3613 4815 4683
194 4941 3132
2159 2664 4609
988 4217 1762
1800 3396 3780
1872 4633 2616
3835 4485 1538
1971 3323 427
3682 4300 4451
1755 3657 1808
227 3233 514
2389 2392 1256
4594 4995 2965
3123 4575 1761
1607 3677 710
1658 3884 544
256 3971 1203
1849 4958 517
1945 4377 1221
1489 2079 3481
4180 4624 1982
688 3666 1020
1800 4117 1418
1409 4496 254
2688 4663 1128
2186 4701 3096
1127 3593 364
4560 4828 810
4918 4996 4513
1470 4261 1685
2154 4257 285
2442 2686 4303
3425 4448 3638
1260 2344 602
191 3081 1252
508 3596 4189
4397 4564 4834
3483 4993 4212
4781 4903 4707
2979 4421 2626
4915 4943 3842
1649 3218 3323
1016 3018 1860
1220 2363 1263
2487 3800 4342
2715 3344 2567
2627 2805 3148
3490 4599 3129
1996 3102 756
1492 1787 1240
4741 4912 2800
442 766 228
291 4444 401
1327 4676 3936
1552 3916 711
1580 4301 1045
395 564 3852
1290 2911 1553
3027 3880 177
4590 4689 769
28 2086 384
424 1292 890
1543 3463 1138
3344 3839 3756
2741 4862 3299
506 566 1607
3038 4044 1858
508 4341 2826
1050 2226 2564
262 4112 536
2002 3757 2163
845 4773 1616
3696 4714 584
1236 2758 105
53 4162 4113
4068 4698 351
773 2698 690
1294 2058 1323
4796 4972 3582
3530 4739 1546
153 2523 3549
4483 4875 1409
4517 4533 809
1606 2604 2371
1588 3901 1595
304 3654 716
2055 2322 282
2957 3317 2567
3190 3390 4699
3360 3764 1772
848 3683 2535
1939 2406 2442
3347 4307 3840
1007 3689 3047
4481 4916 1498
2842 3830 1362
3805 4713 2654
2065 2610 114
394 1968 2825
3755 3907 4244
116 346 4533
366 2182 1542
3717 4999 3318
4085 4416 3984
2161 3053 2936
1390 2823 2501
1060 3641 2450
2672 4106 2681
4650 4755 3986
932 3507 1962
4690 4755 2838
1757 4720 4266
783 2323 246
80 2555 2492
4619 4879 787
2599 3325 301
2192 2229 4802
1915 3869 4724
729 1231 4045
3952 4074 4444
4289 4633 4095
266 826 545
4112 4522 629
2831 4058 655
3203 4897 2977
82 1836 3429
1555 1733 4716
1659 4235 4359
2154 3858 3445
2392 2650 4138
4486 4852 4850
4494 4646 1936
4941 4985 374
3164 3277 4058
2900 3523 1126
4710 4929 3710
4479 4903 3645
519 3698 2026
1605 1900 2581
1863 4349 3891
2336 2567 33
3680 4007 1686
1043 1681 1224
1863 2029 3501
1802 4789 3584
1497 2597 293
4110 4989 2302
757 2533 3061
4212 4567 4337
2622 3089 1656
3825 4925 3959
4951 4975 1713
265 3419 3964
1725 3520 1863
3566 4399 1022
4975 4996 4133
1381 2393 3193
1820 2121 2491
2581 3744 1314
3806 4727 4463
2758 3107 4068
4806 4893 3932
755 1070 2389
2791 3134 882
881 4647 4090
4278 4592 4366
1520 4818 3169
2090 4377 4416
1429 2530 1816
1495 4101 3147
1578 3389 2098
2207 3015 2983
3763 4724 3069
2988 4401 3163
627 2814 3582
1932 2617 1319
4153 4468 2632
4737 4831 3297
3991 4404 4836
520 4566 2705
639 1630 4890
2668 3538 2655
976 1103 2164
4325 4589 3638
241 2177 27
1141 2818 2645
1663 3467 1473
1450 2493 4467
4012 4184 2472
66 2792 2155
1001 2469 3575
385 4615 4343
3059 3133 3822
2977 4516 2105
1218 4950 548
4485 4779 1358
3838 4594 3967
4409 4436 3623
274 2994 210
770 2903 321
420 832 4705
4845 4959 3706
1634 4149 4422
1336 1605 2390
2244 4113 4861
1502 4260 3348
748 1048 526
