5000 5000
2093 3148 3940
3142 3706 1021
614 3976 2246
4193 4584 881
2058 2903 1799
103 2241 3814
3609 4791 920
1578 2976 3739
2075 4004 2511
4733 4978 3608
4949 4953 1482
4129 4543 4349
2974 4983 506
2513 4764 4317
4784 4933 1272
1115 4384 1133
493 3768 4855
1787 4344 3922
478 1241 4316
3765 4980 524
747 4204 1938
2568 3592 488
4143 4732 2710
1348 4730 2225
2466 3950 4690
1861 3556 3706
2301 2898 2773
2273 3641 628
840 2875 2689
1805 2138 1913
3408 4028 2238
2478 3306 3085
1043 3598 4300
4289 4438 144
3203 3441 54
3642 3913 1781
1141 4642 4997
1656 2912 4104
625 1319 1932
4699 4771 1347
4171 4590 2466
4592 4720 4778
2194 3383 2550
3046 4594 1735
1536 2940 111
311 1993 3730
1512 2971 2711
261 3881 1321
947 4561 1451
1612 2385 4305
2495 3876 335
3148 3709 693
2119 4109 2273
2134 4997 4245
2254 4251 4903
2856 4880 970
3728 4820 1728
3672 4228 1141
392 4831 4742
3721 3870 3081
2040 2356 2504
3066 4125 4542
4582 4857 4985
3515 4155 1403
2416 3979 2238
1052 2647 1461
1153 4985 4733
1203 1793 2838
3618 4067 1854
4182 4820 3598
493 4361 3499
2418 2452 3714
4180 4264 4189
3039 4599 47
2735 4952 4311
1482 3757 4884
1278 3528 2074
70 2637 2294
4249 4921 2304
4042 4477 2031
4246 4874 1411
2734 3549 3477
2482 4131 542
2772 4670 864
3159 3310 2272
1814 2952 3098
3130 4178 4465
4980 4999 3891
478 4194 2416
4616 4756 3851
2718 3751 2522
1935 4543 581
542 1456 2582
1372 2576 1243
1682 4343 1345
4723 4728 3131
4066 4354 3933
4739 4885 802
2220 4670 3421
279 897 3685
4632 4644 2270
129 2014 2648
3774 4558 1609
1889 2252 2147
464 3820 2841
1283 4437 370
4445 4970 1968
2628 2871 4427
907 4632 2365
252 3888 1072
4248 4285 4528
534 657 4066
4972 4989 1188
4522 4975 339
3093 4408 4737
4294 4646 4224
3130 3761 536
1144 2326 1234
599 940 3356
1440 4048 1536
2766 3558 4947
2458 4328 1793
1210 3382 1143
2813 4080 16
1804 4662 1822
4828 4856 2573
3495 3700 2690
1142 4988 1456
623 1730 3506
400 3755 544
533 2242 10
1393 3116 3938
4568 4618 3653
4601 4760 132
127 3871 1243
4119 4606 1251
4480 4857 4596
3184 3872 4814
3127 4776 2735
1517 1968 3223
4579 4843 3966
771 2152 1764
4371 4652 3658
4432 4544 224
1304 4484 3143
3387 4207 4038
4253 4652 1568
4648 4725 2817
667 1258 2244
749 4271 232
1217 4563 2243
1964 4502 3461
2041 3066 1933
402 4181 4767
2886 3338 4654
2091 3143 700
2928 4535 1886
1463 2157 1331
2188 4191 11
4481 4773 4065
1978 4396 1252
187 3046 4977
2190 3207 471
4142 4617 306
3259 3594 25
805 3706 3534
1311 2206 4032
460 626 249
1581 3205 1622
771 3325 3523
2275 3021 3833
1000 3401 1910
674 1848 3400
4578 4976 1513
1272 3895 1993
3753 4655 2308
3336 4606 674
814 4043 3763
3166 3284 95
1089 4934 489
1191 3210 70
3053 4411 503
2473 3371 915
3230 3314 2033
2097 2826 2547
2549 4054 1825
4720 4920 695
1284 1582 4115
3796 3983 3050
2174 2897 3030
2834 3829 3778
2285 2289 954
4678 4736 169
776 1309 2847
2948 4098 1236
3475 3950 3047
2711 2960 874
4895 4984 2170
301 4596 4483
900 3672 3584
2438 3655 369
581 2544 1026
3424 4762 3339
2781 3874 4240
4194 4626 1219
4003 4276 1551
1419 4352 1325
2443 2744 2411
996 4503 454
4078 4091 2654
230 708 3310
1972 1987 804
2847 4189 4462
4564 4593 230
3698 4442 4843
1852 3160 385
519 3096 4669
2339 4665 3028
2173 2669 2347
1608 3402 1934
4615 4912 309
211 1637 4409
4260 4429 48
201 281 4830
3717 4932 2296
3577 4724 1539
3182 4981 3074
1614 3291 1874
4091 4388 2710
1710 4699 2463
513 1119 4393
2853 4778 3999
3897 4239 3475
2046 4624 579
4692 4894 3877
1212 1518 4307
4735 4955 1534
4059 4077 3939
2582 2866 348
2065 3724 1956
1431 4136 4629
1708 3613 1552
3218 4892 778
3565 4496 1168
992 1932 4008
3043 4075 3518
1142 2733 4320
3743 4752 1928
2424 4982 3465
68 2268 3531
90 376 3550
2165 3770 1280
1160 2522 1197
2501 3970 3343
4400 4750 3157
2465 3822 4944
3776 3908 1937
3488 4791 2406
678 3699 1570
4388 4711 1839
1198 1851 4787
1397 3496 4129
3704 3705 3536
972 1568 1692
144 893 2704
2108 3757 1560
4077 4562 2515
2255 3876 3357
3263 4821 472
2481 4314 464
1765 4687 3508
1212 2579 1098
4325 4905 809
4789 4976 2800
4237 4611 3434
4619 4620 3626
782 1915 3439
1653 3864 2852
3754 4776 2625
4441 4779 1760
1611 1920 2099
3856 4713 232
248 425 205
4943 4989 4875
3549 3578 2172
4214 4852 2619
2782 2930 2604
3892 4309 1728
2942 4568 3210
290 3653 365
4075 4444 1242
4056 4591 570
994 2526 3419
2152 4536 2199
4682 4905 2258
1115 3077 1796
2653 3874 2794
2013 4167 1508
659 2294 1817
695 2751 179
3365 3961 2963
2718 2922 4238
1728 3297 4874
3327 4539 524
1567 4104 4934
4732 4782 1091
473 678 335
2133 3068 2513
3866 4309 90
513 1538 4064
2251 3181 3628
1153 1240 1848
4019 4923 3936
3680 3849 4039
3674 4640 507
797 4465 700
1556 4353 946
1411 3386 1846
2237 4449 2604
244 2028 3627
4107 4839 3885
4182 4203 2945
3499 4584 61
1928 3518 3005
3524 3842 4700
2521 4023 1011
463 2603 3693
4867 4973 1828
2150 4311 4285
264 729 4674
2925 4842 4298
2724 2848 2932
1306 3320 1846
455 1070 1579
2714 4848 504
477 927 2245
2462 3433 3950
