5000 5000
405 1037 1882
3144 4703 423
2048 3828 1155
451 3329 3500
4956 4980 4066
1830 4581 4356
501 3613 987
2352 4193 578
609 3202 4563
4523 4705 1555
3639 3811 4795
384 2929 4019
209 4896 3102
3252 4344 3304
621 4978 1882
1509 3349 1025
3858 4179 4756
3073 3984 128
2787 3367 2576
1023 4473 1418
2586 3726 826
4467 4971 4749
1881 4935 4258
3767 4442 3422
2479 4478 1355
4145 4983 1351
3708 3803 4838
2013 2814 2081
105 4387 1051
4820 4842 302
1846 3986 69
1126 3987 3261
4667 4974 3617
742 2202 1238
1153 4868 1842
1525 4297 3980
3726 4114 1015
3024 3884 493
2099 4001 1883
3794 4095 2048
781 2225 2021
3154 4427 3389
2159 3125 3906
1498 1533 4909
4979 4988 1022
704 1250 2154
3605 4911 3126
3913 4442 1700
4383 4523 2344
4665 4838 2535
251 2020 3139
1733 3957 1825
39 2248 1920
766 3164 2013
2698 3619 430
2255 4397 4233
1094 4043 4033
4712 4734 3026
2573 4009 364
164 2712 514
3611 4606 2769
2460 3210 670
4733 4985 3447
2884 3704 702
2655 3801 3992
2951 4725 2367
4810 4957 4962
4459 4761 9
4534 4683 3217
2020 2159 2252
1472 4403 995
230 4690 4461
2802 4031 1091
299 1934 812
67 4756 864
2518 3856 2161
1859 2664 2053
2736 4319 229
322 1136 1221
4476 4486 4917
4998 4999 2728
3966 4358 2345
165 2987 621
2490 3902 2362
1044 3599 3802
3734 4007 91
990 1793 1162
3245 4052 3856
4792 4983 2188
724 1287 2496
843 1857 4854
1368 2585 3277
3845 4817 1253
4621 4796 1513
3560 3904 1730
4222 4580 4935
204 3997 30
4887 4925 3154
4529 4682 369
3360 4726 4063
3671 4209 2682
1320 3268 2356
3876 4912 2486
2877 4359 592
1211 4137 494
3377 4906 661
1876 3700 1484
2609 4598 939
1072 4379 2381
522 4704 4498
4153 4357 895
2185 4521 2765
3938 4691 3843
142 2119 1163
1942 2567 594
4205 4836 644
3255 3558 2841
3038 3720 1838
4426 4489 477
3676 3689 793
3517 3665 300
1735 4533 4307
2123 4186 2501
915 2510 3660
4441 4455 2561
3657 3978 4927
126 3951 4005
4778 4976 4893
2120 3817 3189
2081 2222 2040
3266 3944 84
870 2405 3871
830 3210 4630
2729 4649 4545
4601 4786 4981
4411 4413 4591
2409 2858 495
818 2363 191
4502 4761 731
1156 1241 4795
1852 1969 2532
1941 2965 1775
1381 2731 2348
964 3079 1882
338 3374 2949
550 3419 2367
3248 3809 1150
2879 3461 3647
3433 3869 4332
305 3343 42
258 1334 652
241 3512 2909
3933 4070 4378
1677 2512 1822
1506 4497 4729
1421 4945 1630
2827 4993 1823
212 4285 2387
3655 4926 3257
564 4029 4364
4037 4183 844
3254 3922 452
457 4554 3380
3699 4047 1607
3605 4014 2853
4945 4994 1695
921 4104 3928
4192 4907 4530
393 3212 244
4228 4985 752
2026 3691 3713
4079 4504 977
4060 4915 2094
2454 2863 2977
45 2308 721
2765 4215 493
3644 4888 1047
3216 4651 3978
2651 4925 136
219 4540 4728
3566 3607 385
1563 1636 4949
2535 4018 2798
2347 4904 2081
333 1855 1212
3298 3935 306
2110 3421 727
