200000 200000
88163 93423 1426
82558 102056 2927
119016 156493 2011
16267 178320 501
65963 83659 1477
197806 199417 1759
28448 162364 1021
127904 131009 3904
196155 196931 3134
198773 199191 1784
177523 180796 2452
12250 19928 131
163879 164074 3188
19196 92170 1234
152866 196464 1819
77553 155057 4908
119348 162351 3624
68339 117824 2851
41130 47586 4949
112814 124206 3178
39746 99456 2533
111923 178988 1074
98674 190317 1497
28959 158704 31
142000 165951 3773
181548 183489 4368
196799 198286 2737
105752 107121 2877
170616 188653 1674
58251 189640 382
75167 101627 2332
64483 85031 2628
107217 191162 2931
131868 168360 1409
115406 174086 511
199282 199441 4435
85661 121813 2953
80794 121417 4285
187762 189522 4823
52126 184932 4735
165919 176000 3822
8295 153301 2244
143953 196441 3072
62986 63674 1547
138792 152607 1801
197139 198347 2480
7481 53798 1382
43399 196903 1031
72823 86647 2615
131105 189381 1506
21267 186427 137
89190 189558 3992
70734 147403 1080
131539 196633 2105
30746 179002 3962
97968 136317 1046
48584 108694 1524
112947 116335 3785
98449 157831 4942
23202 138390 1599
23591 191034 2337
175938 199515 4893
175255 195586 3932
101518 108965 4830
83748 164978 2235
134914 174561 4333
185236 196421 3680
159295 183762 2948
63041 117001 4079
133026 163227 733
96620 167190 3281
61242 185893 1439
174375 187326 3740
178869 192906 871
104952 158746 1708
79981 143505 1849
188917 193564 2919
47479 149570 4684
55802 146027 2324
183627 185466 3189
174429 194614 4334
153254 168956 1480
146069 197475 82
199988 199998 460
111610 190702 2440
38695 51781 55
95399 188986 4850
109516 188524 4654
161089 185234 179
140971 157275 3368
169779 194248 3545
169854 199139 1456
870 33739 2439
96578 122182 3947
110459 199437 1767
54185 141889 2606
35778 44241 4512
107665 194723 3437
5662 7217 1181
184977 187195 3784
164631 193567 4939
76009 84430 1650
56649 169183 1178
129222 175432 519
29736 30771 4400
164686 197652 1980
73561 135159 1003
108310 120434 4818
6973 31666 1904
23856 96691 3138
163972 170389 1275
116058 158637 3556
27889 62422 4613
48702 184069 3037
73684 132228 3548
83839 88702 3133
130436 183851 397
188860 193119 386
99862 123613 4787
27302 199419 4091
6128 135917 1566
101217 109530 4501
85522 169778 3734
44868 48375 134
183753 189195 4659
24047 48766 867
106224 167073 708
38924 169765 4650
178008 196852 3912
158529 177583 2935
168208 197553 3695
179320 195996 2954
29884 185937 2100
199054 199260 4098
163541 175505 1186
114896 168459 1568
142912 148117 2938
151944 162096 82
132088 197861 2405
26821 188233 4781
156052 175816 2196
156421 190294 4369
104040 184277 2126
169112 172225 2399
144714 187260 207
96769 108632 1720
82888 175930 3760
166388 186614 3128
122828 141684 1076
59719 152548 4884
12355 159135 4239
106249 125217 2674
120009 139758 1930
110567 199173 1955
80887 190812 4678
2521 125426 1652
120794 130623 2016
173391 180225 1688
151032 177672 4010
194644 198641 1631
2150 174395 4638
60095 162990 2907
71315 163373 3045
101030 180885 1596
121840 173386 1748
141417 186886 3103
165709 178892 3971
193108 195234 4482
142984 189036 3758
104236 154506 4388
14638 48607 292
55354 119714 3809
184185 185491 444
62448 75040 2998
64648 183234 2158
80232 196677 1764
152403 159665 3180
100072 193422 2744
126462 156674 288
175778 176621 324
99838 136270 1747
143629 157664 2156
52603 193344 2323
164822 174944 2032
42110 199589 22
198693 199615 4477
167000 198401 2822
45900 122585 1596
182435 185894 4735
43643 94381 1526
185306 190320 3967
157475 178648 3841
163490 170975 4068
181970 199123 2159
159120 192043 1218
157760 171294 2085
143468 193725 3448
35168 74640 4983
75090 87322 2837
104217 195173 3472
94526 189797 371
76726 113430 4156
162394 170732 1331
132752 183343 4224
148482 176659 190
179783 183149 4705
56647 88033 2341
104336 195966 2688
149470 171979 3482
123236 142284 4561
66681 132921 4620
113704 143267 481
116297 183004 4572
53874 125267 2216
49032 68630 4797
199583 199814 73
80690 96989 1953
176053 195772 1221
70887 144062 3044
154478 194108 3864
140386 194612 4070
66467 116911 16
88616 108577 1590
158562 190263 4324
30850 189078 985
115040 132194 2538
186604 192384 4116
196279 198840 3630
48344 64638 2111
176774 194071 4402
91178 177480 2964
9636 94860 2265
