200000 200000
24961 26631 4102
25415 104385 2265
65461 159233 277
157541 174727 4518
47106 135984 1315
157172 171455 1892
188357 189814 3452
141077 142903 1869
122152 186205 105
106580 109593 1079
23536 151094 2150
135223 169935 3521
113530 138200 1106
22593 109799 1566
23207 35210 1949
189369 196077 4620
139310 154696 3988
85195 91213 1882
156890 180899 1043
19705 46774 283
71421 118026 4941
194683 197914 3558
10126 149379 2730
175503 181625 377
105815 111297 2088
53444 68754 1083
192435 193780 3088
37867 184143 2559
173680 181524 1524
24977 188369 1661
98051 168227 2065
174282 176400 2439
87529 121709 1443
188176 196688 2016
122562 161486 335
159703 162276 3656
31235 114345 1166
124472 135055 657
149750 151358 1719
124929 192178 693
169999 170588 3426
88745 173994 1541
99374 138295 2046
83680 167029 2346
123408 146084 3024
21890 32773 3419
2138 23676 402
160601 195982 3847
20570 27319 237
136611 146273 75
95720 167385 350
107924 111557 2979
57531 184565 827
130557 198931 1334
167542 198046 1842
119647 196170 132
128451 191416 2035
144359 154309 1893
138944 139518 1134
60016 77028 573
4319 29631 154
90183 102656 4315
21188 192918 1657
160386 176345 2897
193003 195118 1647
100174 144717 3293
24528 125547 3857
67002 114783 2195
93710 107434 1832
20527 66080 4167
60763 90946 161
63542 110369 977
61928 121092 3204
84129 192767 2287
134167 164821 4747
179084 184522 1265
175098 191204 308
8320 179125 2634
139585 177294 1111
82632 168478 1164
171775 190711 1437
187444 193267 4314
77782 194111 2245
32345 171707 674
1765 72765 4730
47506 60089 1119
28408 174177 4376
113410 198037 63
93786 176645 176
8779 50595 4266
149802 179979 2039
89182 150879 3924
78963 123239 2192
91750 97692 465
119917 145535 4406
187395 193665 1042
119414 143812 4605
72384 196948 248
167715 194920 4595
42026 145232 1724
195651 198107 2082
176162 186873 4513
154173 177878 1338
155858 174515 2307
161895 164246 3763
107061 112087 2972
50542 182578 3130
29942 193210 3121
77769 189503 4799
151487 155316 2809
107039 151998 822
8583 149531 535
33585 46376 1825
87807 115472 329
59692 143479 1447
85613 186566 3946
100679 121719 2323
84020 144778 725
9985 163783 4246
38441 140515 3180
199712 199761 1626
27416 149177 2802
22279 113785 1216
71221 173879 1548
64881 71347 2622
183498 195574 4473
139901 154296 62
152959 196963 3163
86531 106786 2174
113802 151635 2008
14229 78307 1488
83969 145212 3255
192665 194456 1369
85368 118697 4204
96002 193378 999
134206 186339 1996
8301 179974 243
113526 115444 4039
82954 118681 2754
176359 199867 2161
117643 186808 920
111749 151346 4576
47497 177578 2892
6391 166462 2425
131340 199282 2653
5869 88942 1761
116467 175538 4908
20362 126422 1823
132709 160045 4713
87721 116482 3618
187676 198676 921
180679 184766 2523
42139 186849 1957
37243 114845 2416
143989 162267 2694
144631 151039 4698
68238 117315 1782
184715 198563 3109
36464 188127 1105
199059 199786 3060
61290 124711 1810
75489 118918 3493
25281 51716 2636
111262 185829 4101
116660 126505 3344
20588 54653 2241
189994 197047 3356
195798 197929 1100
132138 166404 2258
168316 180673 3792
768 61233 4791
9643 187763 845
56169 174731 1686
85023 128096 3198
160846 171192 2696
72119 193858 3502
138693 181926 4543
117434 119971 381
45262 72110 78
61707 184794 2485
30941 121472 957
118022 179461 3934
68972 137251 4676
79192 164060 3224
141554 147884 4485
155929 198248 3675
259 61890 3804
142703 178854 1512
53257 60864 3555
155716 164947 298
284 4983 4117
112169 179275 609
26272 60744 3265
181875 196904 2859
85103 127511 4627
189174 198640 2973
99066 194245 1863
65434 84910 2355
168040 190955 1038
35335 99743 1823
199111 199270 1408
192371 198312 3203
183571 193478 3283
149340 162889 1990
33928 68371 2534
144327 180649 3958
193574 199827 1291
51630 82938 1852
52995 125459 1247
178950 199136 2303
83428 123991 3068
159714 179267 2993
104152 159376 3011
61517 76300 2398
78918 93582 4762
24791 138149 3305
183712 184566 1411
36333 110138 4776
165447 198302 784
3005 58220 1431
180707 181917 4178
43240 123215 4094
171445 190884 2929
13355 135902 914
36170 126819 1081
89717 150374 4195
62177 184292 4615
26517 195218 1138
181645 191847 4624
86390 117250 832
165452 184010 4889
55905 176893 4298
14424 95669 4641
114948 181492 2938
171081 198338 211
18332 75773 1367
41121 118919 3604
90993 143596 3673
164081 192818 427
72974 116172 1127
5152 191683 1524
13334 109612 1144
141856 149610 3106
165050 168335 4697
62206 117657 4780
189430 194619 2680
44663 142335 3191
138488 192232 4310
68536 107480 1696
