5000 5000
3228 4328 2547
4168 4330 2989
4619 4837 4633
3799 4983 4230
4544 4750 1385
4376 4514 2822
1794 3628 3988
4244 4799 3505
1640 3836 1009
4616 4692 1712
2126 3627 3843
4347 4914 385
1749 2934 1453
2358 2480 1030
4691 4752 4100
949 1776 2268
172 1133 1751
4612 4854 1551
799 3818 4176
3013 3460 178
1103 1765 4193
3886 4286 1144
3695 3971 2845
3037 3512 4461
2579 4159 1578
1953 4516 2616
4572 4765 2878
162 732 1493
4078 4835 3123
390 3445 1933
2738 3120 200
2009 4597 3621
1904 4462 131
3872 4731 1022
1409 3460 1537
902 1334 2845
393 4191 2741
4113 4526 2600
3905 4465 2262
4079 4090 2076
2815 3180 624
1138 3767 1918
4740 4821 942
4834 4894 4099
1226 4755 3932
1318 1528 62
1858 4118 4741
538 2419 186
848 1549 3962
2023 4507 393
1623 3381 910
4662 4825 3169
4509 4861 2963
1696 3495 4046
1207 4423 474
4881 4978 4096
1900 2627 1161
3650 4322 3681
4761 4837 4001
4067 4955 3636
463 4901 153
4774 4967 3151
1657 1956 2548
1348 1772 4036
4990 4991 2464
2010 4989 1712
3529 3778 2735
899 1703 4432
561 2390 3838
3136 3704 4087
3789 4910 2482
3761 4252 756
2727 4419 2885
2392 4507 2628
645 2921 1436
2561 4256 4521
4947 4997 2957
1608 3501 4491
4123 4549 1732
2981 4776 242
1527 2518 3393
714 4310 2649
3722 4485 468
96 701 536
1164 2746 3217
1683 4118 4728
3958 4944 3305
1684 4815 1671
4679 4767 751
4209 4992 4313
4752 4921 2370
585 3043 4156
4691 4996 1166
2263 4365 4701
3712 4198 932
2092 4687 3593
2247 3245 937
1243 2411 2606
682 3145 19
2788 3200 1914
4576 4829 1991
499 2310 4498
3930 4117 2409
1484 4375 867
2667 2975 2735
388 3764 992
4674 4995 4672
3284 3302 3332
2046 3424 4101
1393 4740 3056
1096 4812 3923
1429 4927 1366
466 1017 2672
4805 4815 2239
838 4409 4363
237 2834 2182
4193 4957 3753
2361 2418 2213
3441 3917 2582
1767 4832 2760
4515 4604 2407
1546 2789 4548
4247 4305 3110
2737 2873 1578
3801 4339 1978
702 1486 4925
1679 1914 3770
1699 1973 3184
4685 4961 1978
3207 3592 2821
53 3334 3002
3893 4716 3022
1515 2696 4553
1048 4728 2475
1302 2387 446
1790 1991 3334
4758 4924 1613
3517 3876 2227
1243 3925 3781
1714 2449 1669
927 1937 2086
689 4605 3948
57 2905 2669
1971 4422 3438
3280 4519 1632
4884 4959 3018
4517 4799 4237
4357 4908 1737
806 3235 4015
3876 3896 4619
909 1037 3719
187 3120 3433
1008 3833 474
653 4334 2248
827 2260 3943
335 782 4909
2256 2547 53
4990 4994 1230
3565 3929 68
712 4514 4939
3503 4095 3005
2300 2305 1879
4460 4927 3494
1414 2544 2109
209 4626 3191
329 1978 1722
4847 4848 1091
240 919 4967
3198 4037 2105
2552 2903 116
2108 3278 4776
4905 4944 4830
1208 4892 2228
4118 4631 1544
3906 4218 4968
1723 4272 1632
1111 2459 1763
3959 4256 607
4651 4909 1203
565 4061 1937
4839 4952 3897
4444 4959 1011
3020 3119 3531
156 4308 3525
2501 3951 11
25 1359 3815
3836 4625 3331
2256 3881 2946
3273 4199 3133
