200000 200000
19808 121794 3597
130892 188193 1448
16573 46635 1366
65974 110862 2596
92806 115942 1766
89660 98243 1376
170790 194691 2472
119944 172877 4095
129145 175110 3533
109760 137875 4612
98074 147703 2938
49336 77517 125
86752 138927 3810
73403 190728 1867
114768 159022 3430
26559 199412 2173
118111 166901 1426
93038 187258 187
8285 178058 2808
167563 195516 2264
29813 30750 3517
62092 133961 2841
144316 158234 739
193755 194093 3165
189669 193637 4270
169382 186433 2582
195464 199217 4581
94848 157966 4462
78988 97584 2271
25643 127204 871
58878 123018 894
93520 188439 1675
79017 97745 4889
13794 87403 3137
71355 147168 4377
32936 187443 1296
72443 90800 2435
62677 113190 3743
162892 166179 3106
74707 193288 2586
138830 198859 2165
89025 91798 1573
165984 167477 2126
134656 158297 3366
178134 191460 3493
188567 191790 2361
133754 183149 1298
102784 173862 1777
41141 166044 1724
45066 106736 2533
131181 138468 1353
175415 193846 1372
82135 121634 4339
177173 199162 3494
31062 141832 56
180212 196323 4362
134985 160802 4055
97878 102233 2821
101792 140838 2261
119602 192499 4844
149327 157927 4699
149948 150487 3460
130168 148178 2324
168288 172990 714
11221 167573 1532
14409 139952 4386
168390 175475 4299
23408 36729 2752
178091 199803 1081
104417 188621 3910
75631 162910 507
118638 128206 796
123742 173906 251
88981 194996 3372
100857 187053 4525
185075 186436 3469
141671 177022 1650
177050 191002 997
87907 123688 2885
127762 170592 3804
140996 157481 1752
66832 165282 535
167150 199399 184
79003 141390 550
70690 100809 1343
161799 199623 435
14837 173152 2891
31305 69642 4152
106418 170666 3572
121962 125710 1216
24477 31968 912
43368 153391 4663
154024 155069 4312
96548 136633 2914
98011 151552 2827
130870 136632 4815
124196 164709 870
112746 148037 4306
11909 126880 2194
15890 101817 3441
93475 168614 1554
155761 157207 4976
159063 171416 67
163924 184644 3989
157165 199200 239
23378 30357 560
111815 174371 4941
96158 172731 3399
49247 67049 4555
146677 169143 988
193686 198490 3877
38033 127320 2494
114998 144186 1610
153192 165457 2358
84047 166321 4932
18153 73510 2598
59681 127978 1881
31635 143804 3296
168817 182590 405
9340 46256 1353
27550 86330 4900
56895 142068 4407
131542 199159 2717
23372 54489 3330
41872 68691 2746
96168 194668 4597
67273 76298 1552
185666 194259 3956
158622 194300 494
71408 110138 1450
197986 198783 297
11452 22483 2338
105559 127377 2482
158676 172415 4619
82580 169573 4106
3654 65743 657
181711 193200 1272
195200 197636 436
162273 169397 1841
181857 197949 3479
152464 155478 2980
76524 117784 784
175621 188478 4278
156032 176092 2697
194745 199038 1107
188238 192497 1557
193057 199537 1449
174635 175211 4914
87326 108214 739
150551 158575 653
183454 196675 375
73702 141346 4554
101486 154119 1193
117525 177887 2359
78044 96867 2238
27173 162539 4377
73990 121746 3052
3670 42785 633
67340 177680 3388
139811 141877 229
155267 193689 1409
123964 155066 3390
128823 136934 1491
186666 187091 4502
36531 174809 1132
175722 199388 3128
153604 158458 28
84225 151383 3568
159680 177973 3134
197099 199556 2311
166132 189368 4483
94662 139547 4707
148930 149539 3556
69505 144998 2359
103707 144754 1981
74441 156819 4537
191265 199838 2615
94484 166010 3961
180754 187059 4149
114700 187243 453
141221 192093 13
10349 179628 1221
154894 177765 3377
151139 161924 1590
136643 154263 1328
156051 171647 517
23423 86210 4027
19622 37882 2651
18693 158362 42
30399 164779 3615
196570 198405 864
114334 165684 4842
4649 100995 4304
2238 174690 4457
177611 181027 1832
58837 134763 4487
160563 164241 4085
121042 124528 2197
141527 143191 4787
55647 154289 226
197164 198415 1250
103267 103978 1953
85302 160448 339
180182 184554 3128
81717 98797 3476
180027 197855 2306
129775 169592 155
54642 58216 2127
139915 196459 3911
108206 108456 1288
198212 199172 1285
5246 84072 945
95639 102105 2816
71827 110973 2441
47975 198448 4231
56295 156012 428
55488 135856 4091
183620 190387 3615
22684 44234 878
142007 166112 2011
160508 189792 2424
15953 57574 342
68936 98032 4804
188212 199397 781
124835 186251 3730
33250 107569 1795
181637 184960 2348
40275 116494 847
2052 27167 3590
72139 121058 4812
97676 196820 2851
55968 61299 4804
41229 194216 4777
38458 125630 3970
29971 50901 1023
66054 195174 377
163876 192861 3179
126961 160201 4145
10642 177190 232
82158 149941 1485
137129 149479 1369
172460 198883 424
148549 167058 3397
76683 93511 3064
142453 161660 502
77472 136642 691
186331 192596 206
192101 194842 3878
77186 139903 3982
103183 150106 3090
149385 169780 4771
27780 93377 27
157319 190205 3459
34991 91010 3689
39490 76347 1441
31688 112918 966
157423 165441 534
183711 194686 3468
126670 178194 2647
121464 198054 1689
160797 173477 3821
163838 192493 4169
46309 185085 3757
186238 189264 825
71538 89915 4545
184532 187457 525
613 43461 4652
112139 199968 2219
31929 61610 4001
170795 196577 24
142013 198391 1251
84543 90545 4801
122195 191038 1867
144819 158151 4872
8914 70004 903
5853 136469 4770
86395 113177 4362
107824 135900 2044
68685 194233 658
68034 100412 4141
196762 198301 4198
142885 194446 311
182068 183053 2560
180333 187054 4036
77628 149219 469
162781 186935 4387
9553 129089 4052
17834 151877 2985
29089 35742 79
183602 189238 2611
45110 70529 4003
53148 124088 371
27075 44241 2095
43828 119548 3736
69365 116640 2515
138514 181356 4759
72641 156726 3333
103977 137844 3960
72890 143702 3902
66669 159833 781
11787 55036 3714
16093 44909 3715
132476 192194 1027
135773 157382 3042
72441 89585 2057
131066 199702 2366
100615 181133 3432
19265 98894 965
195104 197935 3753
134615 196937 4387
148438 184823 4746
89946 155749 257
107987 194725 2885
169746 174231 1768
136338 181583 3463
33699 107739 1515
166389 167818 3607
111922 128474 2743
139518 155810 989
133191 188194 4683
41247 106520 1375
196349 197863 2028
63731 70896 1965
145249 195460 3328
27158 72899 4922
1433 178979 2967
164903 199407 4256
95925 172344 3829
12611 113852 2831
24269 171663 759
171672 197883 2291
153297 155609 3461
31714 72476 603
144982 192005 2877
50532 142837 1987
46954 193067 1867
61700 182352 2115
60942 90886 1951
138384 170786 855
192178 197908 188
36666 95009 3923
144639 145852 2076
194512 197141 1292
81651 84170 3593
106323 128990 2519
103709 129282 272
52594 159757 972
144302 181159 324
121720 162704 4800
46919 91534 1356
123596 192456 3430
60473 89076 1328
43615 188149 332
104852 180079 4482
145371 188718 3970
113011 143009 1850
90489 196898 3889
193236 193549 3318
16887 59769 4532
49375 197673 3807
63998 122657 4015
58673 130454 4266
29304 73919 1459
196659 198318 1567
24967 138922 3839
76775 128031 850
122713 138899 2610
156135 178758 2950
186077 196305 506
116662 173976 1700
126071 132927 1501
110638 118946 3660
9498 193457 822
2709 20167 4963
48527 95270 4238
124831 178998 1872
18756 150901 3722
