200000 200000
147777 176358 878
197973 198835 738
137788 157324 2013
38064 84114 2797
180614 192111 1614
29099 86560 4710
137098 164534 266
183987 190365 1995
28027 67857 1354
182748 194599 3712
42765 162682 2821
146093 149894 4420
115267 146080 485
157238 160420 2171
117680 171273 3355
79829 124065 122
88695 196557 4075
149903 171480 4751
64261 101604 4489
64555 136679 541
16127 181444 4774
25336 165965 2675
51264 105619 741
63461 150552 3415
722 88151 3853
58148 183969 3008
181902 186370 1196
66226 159583 579
196829 196938 4999
15233 129103 2253
61249 156449 1340
129233 138160 3813
81906 154588 1123
56436 65902 4050
119220 184374 1213
45538 58135 2661
35256 60305 2299
30729 138611 2132
166940 192504 4088
21580 68141 121
26822 189342 4186
21564 87787 897
171162 198100 4976
179107 191483 4788
54282 160545 1539
165752 188171 1294
10281 121724 4495
36739 140766 1649
142606 187784 139
169770 196577 3696
177732 188946 3105
95208 160388 3257
103318 112696 792
159089 191054 4985
119497 170125 1858
197598 198308 4676
110806 123537 167
129272 138570 2153
15331 23318 1847
129109 160129 3689
137330 165486 3968
116563 188903 827
103529 149834 3117
2668 43711 3882
109811 141636 1273
114248 167608 1090
22813 39112 2599
161688 171074 2649
144151 144790 3638
142171 180001 4858
9138 53757 1090
28930 59293 2691
11587 154137 3274
85524 110772 2008
103342 112180 4307
105995 181335 726
27561 176531 1466
197834 198107 3848
12634 191194 3135
101443 158586 3880
87878 177762 3883
147342 180494 2703
89586 160866 4732
20826 161560 3577
132894 151653 1119
156026 194511 1055
75806 105836 2475
171039 175943 444
126202 162013 1736
103901 152786 49
2850 91744 1576
6853 105133 515
94239 117966 2281
198175 199629 1167
40525 121985 2595
193553 199102 3790
132701 142079 3212
102059 196034 1893
175631 191000 2349
189705 194449 4665
192761 193554 3956
50719 141598 4757
187982 188980 4886
98185 102683 1483
130867 138564 1943
105318 106163 2928
147461 160434 73
153568 171690 2468
68241 136677 3926
34957 124559 238
115543 189102 4246
74090 148986 1903
66327 137325 552
112551 161614 2513
61771 128229 4612
124396 166415 1424
72420 119635 3563
46460 158462 1640
89668 97635 3197
168883 175552 2271
168905 176052 4847
48557 149894 2724
126779 184430 885
101264 171969 32
64562 181545 2682
82611 192187 2588
144103 173036 4762
93221 147281 4120
116709 156604 2451
163983 185101 3299
169357 182852 1810
2029 110054 4300
110262 138519 4626
51915 79881 4589
114844 153453 1105
29467 38388 3009
42276 102671 4002
65475 133857 3404
119998 121958 89
82617 119079 589
112845 182401 4154
24783 184687 1141
160123 160146 156
131127 175672 1016
83715 105095 2853
130262 190364 1987
188189 197666 4690
101761 188355 3747
22680 154929 3284
10512 118531 3204
48988 178992 3913
98628 185236 953
6281 140568 1704
86965 156099 635
197112 197992 2952
151431 189809 1141
91135 121459 1113
56589 186547 2900
101010 190874 2459
7986 163513 456
155478 196176 3873
44072 166247 3565
43970 60703 4186
106617 173551 4651
70236 195071 3782
16335 165725 900
119702 143271 1668
90954 157218 3781
122140 165696 2201
93929 100790 3602
56265 86780 4458
141251 173432 1550
24581 190855 2513
11135 134155 4533
117594 160479 3468
49098 65744 4066
86415 145452 2562
184519 196047 3929
136734 197037 390
21628 80390 4702
195766 196257 1681
121348 176285 3036
170060 196934 1791
140825 169502 2729
5560 178372 4527
48290 189827 3731
35719 78989 939
178643 193065 2974
25826 71833 2040
69419 136168 4870
32223 109406 3802
60221 101400 3106
94335 171564 2098
79020 189890 1103
71220 169173 2111
78647 96999 1030
57019 63517 1246
50414 79108 3461
69166 145484 2495
149651 154111 3967
174180 180717 450
159577 159666 3957
174149 191643 4455
189425 199752 3392
43700 87438 1412
69473 83378 2539
29972 195262 3200
55346 172801 1073
21488 110989 2177
39852 199321 4582
121358 140192 804
164506 170450 1776
130382 138158 2906
42067 88378 4313
72688 102089 2089
174748 198650 1138
146023 166202 944
69323 165274 4985
49091 96080 1598
135155 169923 2933
198673 199492 3875
194640 195514 4951
125795 146963 1574
126968 139332 4950
55759 76978 3871
176690 192409 1003
161699 187029 4440
106375 117762 3165
165297 181333 4826
36510 158634 4777
6693 199115 1662
163928 176707 3379
55973 170980 4516
136917 166599 4343
5751 194811 2839
96475 153621 3907
43921 118007 311
196234 196400 3809
8140 137362 4394
49918 155174 3350
95964 177047 1315
126199 190182 2570
186975 199460 4591
90126 120664 1918
19980 30637 705
199194 199283 4127
71778 75251 2568
20525 127879 4127
162911 179212 1026
59856 192333 815
103734 159055 3181
31101 57162 1028
70345 175124 477
101867 114543 4905
71864 100990 4968
109855 138637 222
2744 108494 1278
124909 143879 319
131733 167238 158
58839 156527 2572
196477 199484 242
75440 81589 3622
133707 198317 806
193869 197302 2414
196352 198844 1042
27745 72015 1442
174281 191343 551
25592 84666 2526
102404 135378 1203
8764 121364 638
74256 187755 4827
10949 142856 3232
25551 173401 334
29165 141114 226
189802 190870 3816
124324 190868 3512
8333 65467 1957
69268 107224 4551
4611 22672 3147
2815 39346 3586
5967 115011 432
159344 192479 3415
121881 128410 541
26932 57763 4906
163312 169748 3537
153185 191467 2727
145447 195331 581
10501 101200 4920
61586 139326 2475
20119 181798 1731
16310 46243 4811
131703 137697 3484
92624 198889 107
78160 121058 3507
167893 189962 2853
40773 46718 4647
190843 193431 1386
109637 118319 4261
123637 145296 3141
102226 189728 2206
44989 58737 4195
186576 189030 2305
52013 126740 1472
13079 184571 2517
116345 156887 261
26908 76078 2873
33514 61014 2918
5378 183535 1873
68549 176569 594
112207 125322 1548
103890 116998 2448
57238 177395 2196
92024 159465 1652
15540 86261 2009
90166 93338 2001
115470 146894 2990
158532 173724 2867
28767 160302 2104
29291 109225 4326
38505 56932 4157
77610 117458 2460
31849 84322 4733
117235 175443 3845
51534 160218 4089
167163 174202 3514
187769 198857 4420
152694 181567 3633
87261 198665 3604
13165 166594 2950
70151 87061 2872
199923 199930 2898
90343 93668 204
59440 142284 1251
59665 167419 4940
131541 143948 1027
2005 128159 3994
89641 139204 2217
163168 171962 4367
170568 190899 3839
157113 192281 59
112646 181402 427
122039 124410 4787
122649 184662 2455
186991 191214 181
157393 193371 3446
170105 195327 1615
187747 189195 1658
181888 197283 2850
194395 198142 507
183524 185335 1733
144578 153270 1776
65781 170714 1824
11676 66680 3621
91179 130531 4183
12887 58742 3877
31928 141387 164
142116 153560 3881
53610 186116 2987
42137 142394 3470
175060 195954 4165
158044 189614 3307
89876 143922 1958
117053 184165 415
131934 134190 4158
140019 189442 4775
65537 170856 4368
43483 76303 1873
170426 195693 3246
169993 194386 108
98502 149340 2100
83240 97769 1091
98947 175041 2725
97247 175484 214
2900 79234 487
78968 158278 3431
71645 172599 4939
160105 194809 3806
131484 156111 3552
186485 197537 952
123624 175913 4768
43195 113221 2515
81205 103637 744
6101 43215 3453
190634 199692 1452
54944 138257 1278
129813 180432 3730
31034 80885 3726
74777 166747 2262
186266 193028 429
88587 133843 1381
116089 169178 811
164121 197562 3902
144168 159855 400
191107 198313 289
52888 168914 4152
95022 157108 3584
100159 176194 2760
7812 52001 3872
66661 113535 1563
138353 147168 4239
112195 157555 954
182214 189888 4966
119640 162672 2084
105505 192816 2585
186162 189431 2032
177074 178637 343
48768 108902 2721
198849 198896 1670
133203 146743 273
149729 182040 1655
162965 183724 3789
140040 177181 713
184473 185082 3995
61178 105759 1893
38825 159073 3801
132008 160554 4712
84534 103591 828
174962 188424 545
95606 98518 3702
105830 126849 2589
186822 188355 3844
71557 73104 1045
44390 100678 2395
181314 187507 3472
108631 197565 930
55370 76893 4100
145208 177412 3298
109376 125496 4350
6481 25411 4191
188686 194296 492
22244 193431 1359
