200000 200000
126814 159470 4536
128023 165926 1869
15392 100840 3448
81316 104758 630
115601 160062 349
73484 89463 87
133308 173414 3551
94053 186809 1111
83412 176311 4161
54142 94433 2333
173276 191741 787
104742 163381 4778
120165 152458 1940
142095 182529 4466
10474 48927 2443
192407 196046 1388
58991 59758 2106
155730 158234 1937
66312 83838 2442
102297 142257 3516
62820 150406 793
130872 152634 4934
19792 196070 611
103078 162479 3124
82793 85814 185
51265 96472 4053
122560 151763 2995
12189 100629 1859
19604 191594 4085
88591 136852 381
80658 168676 1430
84040 135366 27
184559 192210 3987
24063 163431 3354
64668 146511 237
97770 111689 157
110086 110181 4688
49471 86222 1357
38130 134961 2429
129269 156081 2210
144927 159164 50
60833 191017 605
135857 152015 3451
49337 149793 4257
21127 85869 1945
154276 172305 3479
84482 142730 1558
81793 81889 251
13673 29302 4435
59156 190990 3978
192239 198558 19
145868 198948 4086
175216 182509 741
138357 164157 197
130985 162789 4278
5138 72737 3323
95516 160783 4766
61777 136073 440
196301 197058 4343
134261 195769 1807
100694 115578 4878
13223 41871 508
73361 186769 2860
61473 174817 1914
70067 124376 3049
131727 136073 3645
148634 191631 4
127064 173334 274
168913 176913 1653
34565 180937 13
142610 185981 2938
161180 194218 1023
89299 156871 4067
182713 194174 4773
157159 174807 3622
185093 190102 842
163704 168708 770
182053 186141 4027
155835 162515 4306
151232 157668 2124
45026 133568 2332
39178 199733 3910
87964 92514 1931
165655 180985 971
86224 109858 3422
142143 153958 1509
13798 59222 1636
48696 174262 3753
143735 183597 4478
111288 185372 2025
104599 107464 1048
15863 126311 4728
45348 177667 3095
50341 91631 1320
106489 176306 2909
153152 179465 1850
158453 192967 1857
42416 88874 3013
75040 89031 3069
78870 150728 493
166093 193268 4884
53039 181850 3426
93080 110439 101
5324 193487 156
147670 156808 2348
116666 173509 4920
193111 195689 2075
32985 114000 1270
53213 72975 2537
35709 164656 2940
118582 169223 4421
49877 63874 585
106706 116780 1651
49056 127494 420
90919 170788 3535
11596 168279 1266
12777 61499 2777
190576 195953 4953
88522 130342 4491
52810 71817 1298
117654 131269 4297
186678 189200 876
120502 161488 4084
880 49711 3678
109131 186380 2943
178049 179927 1719
150248 175919 3343
16520 122149 3438
199467 199640 4067
175915 197416 513
11869 151472 4566
72120 94495 3972
34758 140765 1544
46237 146188 3629
179036 187745 1613
161609 162630 2930
116125 152099 1693
3073 178583 4892
116378 124037 3251
75059 162961 4330
197609 198984 10
170943 181633 3509
116899 147641 2264
85743 123652 3949
192217 199448 615
111547 150441 325
30354 152868 3371
111005 133355 3215
50309 130661 2484
132784 154012 2407
51386 97365 3075
17899 106896 4515
112666 128449 2988
64515 76142 4180
184038 187064 112
44506 98366 89
72859 105569 696
149753 182720 384
871 17966 3896
144145 187299 4863
114368 170411 3747
98705 190129 2324
103406 153056 307
142937 174671 800
108185 162923 2877
108951 128658 4795
16645 101509 1799
45123 179280 4010
198128 199697 2747
176376 185756 2856
178296 197705 4251
167410 197340 2382
130562 196638 1222
56577 178629 968
146413 151205 4467
30465 74433 724
36143 78009 3531
94891 170754 897
124410 158997 2104
17359 28165 273
183661 188897 406
163749 187272 3815
167340 192038 2865
37023 126447 1695
84874 113270 505
165245 179630 2412
40853 114944 4488
180774 192917 3812
70659 160515 3387
88041 92108 458
141814 198391 512
178793 190181 2475
130673 145708 2170
72310 152011 492
109900 124010 2811
141267 186535 2944
19809 69995 3778
183452 191944 2272
106130 167069 1028
181442 190786 2962
128824 148391 1017
54257 97161 906
98012 117825 3300
123989 181529 3588
29393 72053 2661
172972 191138 2456
77751 83516 71
146134 153084 2648
104534 176529 4584
131651 181492 1471
68002 105292 304
173508 182537 754
61989 79142 884
194727 196779 3518
185879 199002 917
127215 131260 2225
6750 21269 2114
148232 157337 4429
34436 100875 2434
180252 191901 1182
152685 166646 2260
