200000 200000
90087 103495 2569
51787 89866 671
163456 165769 4564
91459 107147 1028
106059 168900 4256
16065 74925 2957
83808 101055 3510
6337 28854 1998
36561 68180 2699
44172 150420 1660
59917 189396 2109
85535 192940 3743
157093 186162 4108
24578 27918 4400
52241 107141 3605
120956 133155 3058
110989 149410 4413
59742 99957 455
62001 74230 3006
36250 183003 3617
162623 179585 3894
52556 126341 3193
144825 182377 1046
173755 175094 3317
3046 81463 2528
58102 190002 4588
124708 178582 1200
156071 185105 1873
99245 100892 4293
132270 155862 2136
28019 188602 4179
127969 160143 4564
76825 194983 3364
193226 196806 245
40659 170346 2311
100894 187507 467
168954 172990 4024
5220 77595 3695
126324 172155 2926
168004 186136 158
133776 182778 2927
60684 196369 182
125546 175072 1818
91143 149397 4340
89182 187125 365
169037 198121 2753
69275 130912 1167
143658 186605 596
1897 180703 459
101061 154355 4687
191802 194515 1573
135107 176153 2030
149915 178056 4944
10091 197666 3411
114991 156935 711
46368 103698 2069
93762 125720 4731
43421 89032 3084
157605 194138 4989
159158 181409 2691
188684 197166 1113
85566 192112 2215
22937 133450 2811
133019 149325 795
90321 115739 2389
90956 197307 1710
190230 199338 4329
24162 99960 4162
175933 182577 2512
186645 197250 3345
185426 196063 4437
65686 138342 93
26477 70219 3862
59544 133738 1717
81325 81341 4509
6554 140741 1555
177164 184068 3824
70452 102159 837
59203 103928 1945
143689 170503 937
78503 163221 1022
60115 168174 995
153587 163140 3189
68876 111825 3058
129034 163083 4261
181480 181690 468
149098 159694 1744
50859 73261 89
91578 187449 4681
35738 98524 4932
77970 99974 4797
184640 198333 3323
137375 140990 3533
123127 194931 1773
87232 89086 200
115208 175159 1588
80717 127316 4844
110718 193860 291
25385 65182 3082
126475 130932 2546
28297 182700 1353
116838 172935 3408
100745 123279 2857
142078 182927 1052
94294 99560 3925
92991 153106 4164
60643 63749 412
128387 131994 1446
53389 183446 702
11806 140262 4257
135995 143198 717
34688 92177 3397
92977 123932 1646
147989 187113 664
98731 107745 911
148491 174904 4667
27191 64776 2618
132297 176708 3151
118591 167241 4739
70012 195092 1657
165975 196662 2056
11064 157040 4742
26875 134415 3507
4954 131773 4848
52562 66249 2479
179702 182814 4688
13454 152155 282
148554 156414 2067
189203 196169 2198
163937 190937 3625
79095 190793 4870
75219 96070 2549
191942 195191 4179
81654 147532 3794
2830 131188 2706
9740 103808 1333
21968 56307 2798
15157 55057 1619
172041 180806 772
124525 175366 4142
186207 186546 3474
146625 181339 4906
17028 144593 1400
88684 113159 2256
134010 176453 2732
183097 192988 1452
104613 119214 508
156705 168851 1142
138504 198126 1152
99537 165913 4214
138 118337 528
1706 178527 4265
62243 107650 1225
146422 190295 4460
88775 165484 2870
84368 122463 4083
184230 197006 1897
125153 136429 3050
98630 140946 2262
180012 193635 4426
55461 92862 223
35208 67157 567
195117 197682 3690
69172 191092 4977
81706 131913 2569
36688 192154 2641
77797 85236 4076
62385 95442 1964
152090 193640 82
111466 146205 2560
115008 177088 2230
127336 150550 1320
184540 199803 4167
31954 52060 2945
60916 186382 4069
166030 190790 2840
145865 185524 239
74705 188572 3569
126246 161568 4991
27441 194437 2288
24387 41230 2334
131596 141732 4364
116187 139455 2644
192583 199457 735
136209 149718 245
130569 172657 1237
98281 141645 2254
134702 167168 2251
87243 149584 2345
52268 89717 1422
29198 90629 3854
149064 149856 3507
140179 149619 1469
6950 75608 4363
187092 199988 1206
16342 154917 2254
64093 125181 509
55302 128266 4774
174861 188069 3293
142759 190316 4955
31606 55997 388
60015 87770 1958
2608 144877 3361
27044 193553 1729
63160 113027 2974
159661 186924 4398
51352 111042 373
4351 26795 4552
26275 67421 960
23157 182759 1506
185810 190086 4213
102690 167446 1580
78735 157168 2477
196875 199500 3935
78152 89488 3862
33877 153597 3291
69885 110693 1832
19062 44649 1000
72789 132312 4577
32788 88483 3554
124531 125036 1523
131381 172954 979
46666 47447 4163
40502 115444 1515
49507 58888 1371
135473 152148 3886
124397 188505 4012
64792 108928 1365
175870 197296 1371
5992 120986 1388
105967 151310 387
143598 158193 4714
48666 86275 4097
118060 143762 2776
45950 77334 662
88078 93738 3303
129523 180189 3889
119613 163328 3906
81813 167194 3934
169390 186887 3450
28453 157156 703
41148 75881 1334
35962 116872 2496
165306 191607 3241
46043 79756 1574
59461 95567 3977
172127 173355 2135
11986 116110 4762
116163 193171 1407
15767 143188 3260
126496 166186 1809
137258 178291 372
133260 183637 4303
193764 194620 4410
5701 140249 3102
66443 192648 298
128917 188548 2660
147452 149913 4911
24837 68852 1855
198351 199527 2114
105623 143740 605
118441 126542 2533
121732 183100 1067
189601 198933 515
112614 126538 4071
59847 197314 4519
62623 175239 3229
73979 100505 4809
150190 152630 1954
91495 171183 1312
155860 185916 15
59840 136736 1044
35936 155624 4226
5019 144269 1143
17230 40647 3014
90315 96104 3652
3693 152603 3634
27962 191220 1122
161009 169453 1367
91985 144644 2296
52000 161611 3775
