100000 100000
51560 84961 3952
54147 91056 789
18564 44188 3219
27128 67290 2961
13489 82412 3604
5851 60615 4840
14612 19406 4449
9785 62719 4982
92065 99169 3768
36285 75921 1312
35326 53385 99
20054 23692 4665
37198 53777 2509
83190 95212 1744
29846 43132 115
92579 96314 4073
45631 79963 1772
35905 66815 3225
78782 91096 272
90897 96660 3747
49512 70884 4834
17295 81205 109
76194 81876 3229
47629 53653 3472
98690 99616 2074
16932 81742 3042
5055 24920 1579
59494 96396 241
89226 98805 3389
46719 70910 855
38064 94758 1730
59945 79086 1064
61947 83009 2214
42313 47530 2032
61938 70221 1434
79750 87572 783
18225 46520 4623
54676 74242 1840
75989 95615 826
52997 86116 1868
39474 43926 1833
70033 83386 4615
13776 65970 1259
60966 79333 571
1970 48024 4691
21800 73481 2907
24468 48458 1198
54307 75665 1759
16787 89603 684
12022 47618 4148
23699 59635 2412
83910 99076 4132
10102 74856 1791
14045 58503 348
65972 81866 1282
99186 99233 2023
56034 60204 4503
13796 75021 4824
52990 75502 4685
46845 49113 4422
63367 96341 3669
21250 97778 13
75245 92382 2946
96476 96702 1139
99456 99941 3071
64800 69631 2959
367 25803 4369
76420 90986 53
57746 76655 2136
73128 78221 801
70001 90283 4598
41365 60725 1980
63166 87257 3364
59267 76415 4538
67328 88465 4749
11191 54684 1518
66565 96412 1288
86251 91067 1763
28532 73045 1518
13890 20114 822
69271 83549 4789
50072 63127 2982
72572 95975 849
28217 64451 320
21712 22773 3627
39666 83872 2715
63130 88724 2877
58072 77525 1324
19662 34739 2086
61010 91185 3960
84746 89925 457
5763 26939 4431
75607 89159 3015
20184 32347 4759
67471 72913 2889
3133 19108 3238
94784 97290 2033
72283 73960 3467
95845 99180 3955
31784 49812 1679
17401 37104 792
91390 94720 540
76056 99277 1396
20729 74623 2489
62206 65188 3164
19766 40748 2585
50055 98067 2
19168 69634 2441
3495 84974 1504
31925 70763 4883
33720 87908 3554
97468 99717 3887
11046 98256 4507
16106 66175 323
40261 75522 4153
15027 97402 1619
91623 92531 212
5461 58184 4085
49595 64996 3102
30592 99967 2790
94741 99680 4104
63195 65676 4408
69563 69589 4873
13782 17440 2186
66570 87872 3159
3222 54057 666
52196 81519 400
80720 95129 3056
61937 76251 2661
17397 35834 2174
3439 33689 3246
26932 28343 4272
16172 91504 4594
66222 80800 4684
30409 97596 1868
22362 88664 2203
11827 38131 3532
15227 75992 1356
34407 82122 2792
92926 99578 3155
49219 66559 3612
80395 85442 1446
16801 68127 4875
72061 84982 3182
52131 97743 297
84717 90543 4427
20463 96872 1307
63743 88175 2875
64140 91217 4973
99943 99948 2351
15018 54769 4589
77443 79098 554
93298 98543 2897
41080 73550 1577
25874 64451 656
21206 54632 203
57672 62298 3438
14936 73308 2593
83212 97770 2933
28234 72344 1922
39657 46572 2631
38068 47924 103
67840 95887 1853
54694 72926 4668
74625 87555 4781
