200000 200000
98280 146792 4185
67846 116637 2462
77123 112915 4287
132665 197190 2533
141211 146108 2603
80074 116140 3106
165731 168511 1920
62489 182214 3823
152740 166860 1360
90465 122883 4508
158802 183458 4734
150187 168489 579
37641 62395 3846
83190 170258 1027
24562 159961 1783
156641 192759 4514
63579 97031 4295
120299 128160 2250
152874 197563 66
180371 191244 4536
184127 186844 2452
173043 190226 2121
166909 187925 864
63159 84713 3988
148540 164487 2002
58190 138819 2044
171420 179600 4708
10539 144479 4946
182440 198755 3487
4537 145531 2034
26262 47416 3946
25005 157518 184
25898 29111 1183
46258 157886 3061
180460 198596 3878
19975 110911 711
39366 118427 4242
196141 196731 2208
140111 150886 70
137143 138123 4979
116800 181927 409
139864 156254 1895
176932 178000 289
3657 145774 1922
90193 165760 2022
157929 198452 2977
192464 193856 1512
39035 187201 4067
91170 143183 2801
103434 178919 3071
75681 87505 3783
195434 198892 70
138057 177923 4006
96312 112299 1104
193512 193830 4964
76611 107371 3594
85393 110458 3684
1332 149284 3683
73664 167749 2339
164139 185249 2666
196827 197478 1960
24983 189516 303
156166 173406 709
55680 121138 2672
84644 164781 3867
132888 153287 588
109720 199505 4486
65993 105557 1323
192435 195697 3118
193126 197977 4100
89971 128985 199
124476 166385 3505
168812 181936 2870
64518 106808 3454
99853 127523 2409
100112 170074 4755
19797 103253 4501
134387 138648 1246
19018 199918 4080
96559 115832 198
148462 183967 1652
8802 91252 2914
76930 133031 4917
161098 161449 1134
182017 182157 4437
189303 198964 383
105390 148205 4123
124422 182001 468
117127 167452 3865
91099 133692 1839
193295 197041 2008
152991 191200 2866
105589 148372 4704
197605 198152 3979
140984 192061 2076
106660 197775 931
101720 186752 339
128065 173591 3453
159933 176836 4291
114730 167753 3103
168700 194004 2502
51512 176423 3562
160735 162878 757
106955 109290 4115
9777 172561 3759
8611 88630 4679
57574 160237 1933
110051 172512 4055
87520 158365 1484
90310 117845 2772
101831 121727 2306
129912 187850 4494
40835 116472 1271
197409 198499 2007
164376 167324 2825
146021 157910 989
150186 184572 650
57954 91152 2346
72396 198617 4498
38244 142589 2388
84684 189968 1351
24620 179266 2591
188596 197558 4688
123133 187606 2633
15027 76416 2038
39600 70178 865
164082 185586 4714
174966 182506 1538
153070 168337 3601
61595 78264 2566
5152 52297 3469
88657 138164 4967
27789 184726 2405
165619 186981 1425
22539 141220 4176
10644 49177 746
53845 175780 858
72690 161176 3452
126693 147229 642
191669 195013 368
80296 160095 163
66889 110173 4925
176404 196257 2381
81068 113924 3143
24453 136204 1703
60348 151192 3953
114501 149034 1706
199886 199972 4296
50204 96753 3805
100062 142730 2936
62919 127992 1216
38613 108770 1516
115694 177967 3668
164209 177882 2017
27895 46815 2002
116796 140061 4629
82159 126649 3107
155101 171809 2224
154621 156025 3052
89647 167686 4733
86239 198299 2608
151888 157047 261
123641 134887 3788
119217 178977 3718
11441 14620 157
43435 196331 1858
138549 141489 1212
142021 180172 1866
111846 120324 607
199100 199957 1611
155734 175168 3483
84647 196876 782
108424 113846 1489
63097 153353 3620
35174 118755 2788
168600 169371 1234
55107 142801 3335
28863 154818 4724
3567 45404 1958
317 17414 4302
70209 83297 2753
142870 150688 1705
2456 39370 2220
122623 150780 4274
165941 176904 3561
199212 199604 3383
903 112107 4414
165261 183803 2561
188841 192602 1576
51614 153559 4542
27752 165504 456
163362 172384 3858
145433 157738 4057
91437 171396 3406
55342 129752 776
181617 184657 4232
9275 43099 147
105044 197237 4156
111508 177924 826
58453 151126 1598
90932 198852 496
191460 197418 1969
190942 199288 248
158523 197113 968
155650 166098 3635
68663 172893 4147
142734 143457 2851
81235 152878 3920
191322 194030 4444
174077 189561 1942
162769 171976 2843
177679 193082 591
172404 174847 1735
98674 160994 4133
149412 188523 3200
23073 100971 692
83035 180697 4638
125451 175709 980
121304 129865 4928
107057 114217 266
146468 190030 4556
64744 93913 2050
67859 90551 4274
72356 168903 3053
5516 96705 608
39655 84715 1686
84378 174854 3731
76607 147222 1994
74570 155633 750
153864 171502 2467
196494 197229 2026
1000 63030 3306
47259 156353 1208
67516 167339 2081
144087 191855 3117
54710 164827 822
174699 192461 3874
23453 28470 4628
51800 68537 392
