5000 5000
3839 4024 4460
197 4175 2329
3710 4627 2976
2525 3801 3035
191 2516 558
1693 1861 1938
3737 4524 809
3587 4374 868
3347 4214 3456
2354 4717 3645
28 1050 1679
3351 4106 3265
102 2927 4490
3431 4327 4128
1777 3540 913
3801 4208 3595
2544 4269 999
2698 4143 3601
2069 3068 4359
1388 3822 3822
3571 4005 3360
1843 4041 4420
2931 3604 1209
1904 3846 910
1935 4138 2489
2683 4084 3760
2704 4631 4253
236 1266 4668
4581 4963 1275
1769 2915 699
2566 4062 1660
235 2548 3296
1936 4539 2661
130 4431 2260
1456 2731 332
3632 4902 2887
3189 4501 4966
4079 4997 1697
3082 4482 4695
2291 2459 1431
3111 3581 1679
4030 4837 824
1376 3394 3161
3153 3681 2826
1485 3129 1838
3800 4981 2933
2695 4525 1020
121 3444 1107
4346 4393 191
2036 2838 2546
4507 4560 4082
4068 4744 4684
2488 2897 3241
2438 4663 1080
3223 4814 4748
4212 4264 2651
1499 4172 2951
3001 3395 644
4087 4465 4678
1380 3092 141
3868 4104 829
302 2877 4039
3235 4373 3032
1240 2404 4169
2419 4225 3381
1839 4043 2540
1848 4105 2518
669 3785 1425
4195 4345 3261
4538 4547 708
4769 4917 1157
595 3824 1200
3819 4077 1787
4700 4751 794
2168 3654 3489
4267 4635 3386
1855 2745 94
3076 4461 2003
2513 3601 3894
3932 4702 2937
753 2236 851
152 2050 1018
2199 2584 1570
3160 4987 4319
3665 4776 4928
3106 3833 4871
4902 4934 2743
652 3225 3272
3167 3821 1807
1018 2971 3921
981 2695 3119
516 1129 2686
1468 4659 4495
2306 4931 3986
4966 4996 3408
1289 4069 3029
1834 4675 3795
3350 4452 3951
114 1088 2933
2981 3387 463
3051 4703 2567
4180 4426 4382
270 4518 4428
751 4387 4663
4217 4756 2193
2476 2506 2979
1334 3270 4976
4559 4946 813
4143 4344 4602
2339 4199 4247
3038 3524 410
143 2001 4979
4140 4700 1892
4802 4809 1652
3091 4227 2377
2535 4261 2066
1302 3841 3723
2761 4045 2223
2915 4591 4992
2728 3748 4535
3260 3517 1593
3906 4421 1050
595 3954 2484
1806 2700 988
2753 3372 185
1306 1472 3103
2217 4627 4772
3935 4356 1553
3513 4139 3198
1141 1569 1676
3372 4921 2908
285 3409 4310
4400 4953 2354
1677 4804 2716
1254 2037 3908
4760 4847 3117
2815 4028 350
2211 2222 1712
2214 2630 1876
3085 3991 1982
3257 4182 3450
4219 4294 4767
3401 3507 3368
2129 4399 3350
3027 4320 3046
2094 2938 559
4065 4349 4956
2431 3117 3581
1025 2805 1165
3745 4560 4558
2923 4285 2215
3725 4765 1971
2383 4940 3796
2928 3274 1699
1000 4658 3347
2553 3903 1176
3213 4978 785
1077 3609 4501
1563 2439 4303
1555 4792 2811
4333 4526 2687
4349 4648 1040
1899 4548 4160
1805 2176 4242
1259 4775 4090
3070 3723 683
2785 3114 1603
2441 2906 1905
3541 4516 3305
3759 3890 685
1825 3423 4765
2314 3100 1581
3274 4047 4205
3137 3746 3272
2438 4525 4304
3124 3825 2056
2054 3203 3360
1796 2369 2994
2621 4348 3995
320 3802 3765
4332 4786 632
1112 1643 1718
460 494 3578
216 2055 1602
3426 4456 348
715 4407 3008
2344 4944 4879
1180 2692 3526
2569 4271 3173
1910 2300 3583
788 1787 2482
2451 2514 4042
1226 2548 2786
1052 2356 2157
1406 3140 576
1821 1880 752
1104 3077 1163
4629 4962 2692
4796 4955 534
1902 3164 1990
3218 4936 1384
3092 4131 1866
3898 4746 3379
458 2712 409
3648 3959 594
1196 1591 4112
382 1801 2644
4491 4670 2709
2174 2617 2814
395 958 653
179 4101 1263
975 2588 4870
3190 3810 4846
3874 4258 1429
702 942 2469
3430 4765 2448
1253 1541 1690
3879 4636 3937
2412 3431 1280
1492 3341 2581
4192 4221 80
6 621 4746
2963 3753 3403
765 4376 3122
1919 4477 3178
3999 4461 973
4407 4781 1678
3415 4302 1379
3284 3311 3948
4848 4850 4731
1431 2916 759
2845 3531 4748
1984 2736 1125
1036 2707 83
84 3824 3853
3675 4022 4401
1150 4973 2356
84 2265 1333
913 3248 1281
3834 4243 4273
4527 4831 50
2142 2596 81
179 3003 1411
2859 2979 1952
3131 4205 4494
2452 2619 667
3972 4108 1624
2972 3503 3884
2049 2516 823
1730 2001 1640
149 524 2555
1660 2960 4518
2596 4933 1495
2140 4770 2491
634 4994 376
4931 4939 3390
2044 3767 3240
3994 4188 929
2167 3673 2993
4993 4993 2764
3396 3522 903
3053 4248 3049
4416 4454 1634
580 4017 854
285 3469 76
322 4162 3528
4060 4824 3130
3564 3925 4830
4852 4886 1262
4481 4815 3401
1472 2477 1901
361 1340 642
1231 1369 1949
4974 4995 1656
223 4260 1838
706 1293 845
2848 3249 3831
4046 4461 3892
1519 2740 2124
1026 3614 930
377 1293 3667
151 4535 336
4550 4746 1211
3030 3916 2832
3729 4643 239
3744 4618 2305
2324 4916 916
3833 4168 59
161 4564 4299
2136 4312 4780
848 4001 2484
4854 4929 3127
2237 4652 1854
1644 4970 2463
656 1841 2728
4163 4703 1321
3046 3181 4522
4691 4849 122
2216 3806 1920
957 4476 4817
1105 3313 4654
2000 2062 1097
833 971 3078
1098 1537 4755
648 2038 3401
3804 4621 2187
799 2829 921
4645 4874 1321
4794 4920 102
4023 4856 1580
2389 4867 1685
699 1769 1396
3852 3974 2205
4364 4381 807
385 4184 4838
2813 3448 2781
1494 2762 4535
2558 2751 2177
3840 4057 3465
1527 4674 3748
2062 4771 2310
2665 3615 1435
4482 4870 4783
4093 4826 2550
2339 3685 306
1604 3474 2812
1439 1624 315
4626 4774 4416
1876 4391 3869
526 2904 3258
2045 4008 2705
1795 3328 2273
1269 3863 4880
4936 4969 662
2148 3288 2434
3150 4974 1697
4174 4800 1904
3325 4066 258
2787 4196 2281
3353 4298 1729
765 1306 3325
185 2160 4140
1851 3638 255
1041 3690 4582
971 2212 4036
4753 4975 4295
4153 4776 1792
1789 2894 724
3794 4762 3990
4852 4933 1256
868 4555 2075
3994 4656 2664
274 3226 4120
1660 2929 4807
3156 3220 159
642 922 2605
2869 3261 354
360 3817 1531
831 4271 3441
1419 3958 254
3731 4966 1074
3507 4470 2944
494 1551 462
2553 4994 4692
2928 4933 4585
2573 3424 1436
542 3919 298
4019 4618 2177
1758 3312 2526
1166 3022 406
2209 3675 4892
1171 3732 4740
4828 4877 3025
4252 4944 130
3073 3219 871
589 1632 2106
4613 4616 962
2692 4445 4845
2693 3806 2693
2239 4885 3036
2059 3999 122
2707 4628 1591
4275 4516 1168
1492 1916 710
1605 3797 919
975 3784 2887
177 3970 2702
3083 3233 4341
69 1689 126
2884 3902 3983
1633 3200 1783
4209 4647 4240
3141 3801 4325
3408 4788 3880
4523 4601 2037
1484 2995 1018
962 1809 197
443 4228 180
2286 2337 1174
4122 4235 3699
3754 4875 314
3594 4713 2067
3812 4125 1182
2262 4857 3511
155 927 3554
281 750 3198
245 4084 1000
2296 3950 1369
2971 4909 1339
2927 4654 2208
3257 4911 3708
3492 4430 3953
3262 4313 4182
4428 4548 3549
3084 4520 2005
2721 3176 25
1922 4893 2806
2592 3563 2302
200 4897 835
4993 4997 2869
